Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC), Set Point 1 (degC), Set Point 2 (degC)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.250000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000566005706787109e+00,8.000000000000000000e+01,0.000000000000000000e+00,3.250000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.544224977493286133e+00,8.000000000000000000e+01,0.000000000000000000e+00,3.295000000000000284e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.545161962509155273e+00,8.000000000000000000e+01,0.000000000000000000e+00,3.282000000000000028e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.545655965805053711e+00,8.000000000000000000e+01,0.000000000000000000e+00,3.272999999999999687e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.546562433242797852e+00,8.000000000000000000e+01,0.000000000000000000e+00,3.297999999999999687e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.547355651855468750e+00,8.000000000000000000e+01,0.000000000000000000e+00,3.272999999999999687e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.548649787902832031e+00,8.000000000000000000e+01,0.000000000000000000e+00,3.292000000000000171e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.549673318862915039e+00,8.000000000000000000e+01,0.000000000000000000e+00,3.289000000000000057e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.550781488418579102e+00,8.000000000000000000e+01,0.000000000000000000e+00,3.289000000000000057e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.055255079269409180e+01,8.000000000000000000e+01,0.000000000000000000e+00,3.282000000000000028e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.155369353294372559e+01,8.000000000000000000e+01,0.000000000000000000e+00,3.302000000000000313e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.255464816093444824e+01,8.000000000000000000e+01,0.000000000000000000e+00,3.289000000000000057e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.817906117439270020e+01,8.000000000000000000e+01,0.000000000000000000e+00,3.346999999999999886e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.918008947372436523e+01,8.000000000000000000e+01,0.000000000000000000e+00,3.353000000000000114e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.018141698837280273e+01,8.000000000000000000e+01,0.000000000000000000e+00,3.360000000000000142e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.118174409866333008e+01,8.000000000000000000e+01,0.000000000000000000e+00,3.392000000000000171e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.218306994438171387e+01,8.000000000000000000e+01,0.000000000000000000e+00,3.378999999999999915e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.318420529365539551e+01,8.000000000000000000e+01,0.000000000000000000e+00,3.400999999999999801e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.418502545356750488e+01,8.000000000000000000e+01,0.000000000000000000e+00,3.417999999999999972e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.518662166595458984e+01,8.000000000000000000e+01,0.000000000000000000e+00,3.442999999999999972e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.618830513954162598e+01,8.000000000000000000e+01,0.000000000000000000e+00,3.456000000000000227e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.718899250030517578e+01,8.000000000000000000e+01,0.000000000000000000e+00,3.478999999999999915e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.818946433067321777e+01,8.000000000000000000e+01,0.000000000000000000e+00,3.482000000000000028e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.919013857841491699e+01,8.000000000000000000e+01,0.000000000000000000e+00,3.510999999999999943e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.019094967842102051e+01,8.000000000000000000e+01,0.000000000000000000e+00,3.514000000000000057e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.119214177131652832e+01,8.000000000000000000e+01,0.000000000000000000e+00,3.546000000000000085e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.219340515136718750e+01,8.000000000000000000e+01,0.000000000000000000e+00,3.565999999999999659e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.319374728202819824e+01,8.000000000000000000e+01,0.000000000000000000e+00,3.585000000000000142e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.419486546516418457e+01,8.000000000000000000e+01,0.000000000000000000e+00,3.597999999999999687e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.519542241096496582e+01,8.000000000000000000e+01,0.000000000000000000e+00,3.607999999999999829e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.619690918922424316e+01,8.000000000000000000e+01,0.000000000000000000e+00,3.642999999999999972e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.719823002815246582e+01,8.000000000000000000e+01,0.000000000000000000e+00,3.675000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.819956231117248535e+01,8.000000000000000000e+01,0.000000000000000000e+00,3.685000000000000142e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.920104289054870605e+01,8.000000000000000000e+01,0.000000000000000000e+00,3.721000000000000085e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.020237445831298828e+01,8.000000000000000000e+01,0.000000000000000000e+00,3.736999999999999744e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.120369529724121094e+01,8.000000000000000000e+01,0.000000000000000000e+00,3.742999999999999972e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.220501971244812012e+01,8.000000000000000000e+01,0.000000000000000000e+00,3.771999999999999886e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.320634579658508301e+01,8.000000000000000000e+01,0.000000000000000000e+00,3.803999999999999915e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.420794486999511719e+01,8.000000000000000000e+01,0.000000000000000000e+00,3.827000000000000313e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.520902156829833984e+01,8.000000000000000000e+01,0.000000000000000000e+00,3.849000000000000199e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.620993185043334961e+01,8.000000000000000000e+01,0.000000000000000000e+00,3.868999999999999773e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.721047186851501465e+01,8.000000000000000000e+01,0.000000000000000000e+00,3.888000000000000256e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.821136093139648438e+01,8.000000000000000000e+01,0.000000000000000000e+00,3.907000000000000028e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.921204757690429688e+01,8.000000000000000000e+01,0.000000000000000000e+00,3.946000000000000085e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
